sign	exp	total	exact	less	greater	maxLess	maxGreater	maxAbs
-	2^-76	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-76	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-75	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-75	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-74	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-74	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-73	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-73	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-72	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-72	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-71	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-71	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-70	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-70	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-69	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-69	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-68	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-68	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-67	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-67	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-66	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-66	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-65	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-65	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-64	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-64	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-63	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-63	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-62	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-62	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-61	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-61	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-60	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-60	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-59	8388608	2369	4204783	4181456	4996	4989	4996
