sign	exp	total	exact	less	greater	maxLess	maxGreater	maxAbs
-	2^-76	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-76	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-75	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-75	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-74	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-74	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-73	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-73	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-72	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-72	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-71	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-71	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-70	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-70	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-69	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-69	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-68	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-68	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-67	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-67	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-66	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-66	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-65	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-65	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-64	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-64	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-63	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-63	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-62	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-62	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-61	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-61	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-60	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-60	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-59	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-59	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-58	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-58	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-57	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-57	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-56	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-56	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-55	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-55	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-54	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-54	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-53	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-53	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-52	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-52	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-51	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-51	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-50	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-50	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-49	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-49	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-48	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-48	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-47	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-47	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-46	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-46	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-45	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-45	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-44	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-44	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-43	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-43	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-42	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-42	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-41	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-41	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-40	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-40	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-39	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-39	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-38	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-38	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-37	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-37	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-36	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-36	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-35	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-35	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-34	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-34	8388608	2930	3198649	5187029	4421	4762	4762
